37/27;Education et travail dans la réforme éducative espagnole;HOCHLEITNER Ricardo Diez. TENA ARTIGAS Joaquin. GARCIA GVE;Paris;Unesco;1984;64;Education : travail - Espagne;17628
37/28;Mauvais lecteurs pourquoi ? ;FIJALKOW Jacques;Paris;Puf;1986;200;Education: difficultés dans l'apprentissage de la lecture;16886
37/29;Ethnologie de l'éducation;ERNY Pierre;Paris;Puf;1981;208;Education: ethnologie;17475
37/30;Enseigner les sciences économiques et sociales;KOKOSOWSKI Alain;Paris;Puf;1978;279;Education: enseignement des science économiques et sociales;17476
37/31;L'éducation naturelle;HANNOUN Hubert;Paris;Puf;1979;256;Education;17458
37/32;Les tendances de l'éducation en 1970: enquête internationale;BIE;Suisse;Unesco;1970;66;Education;12190
37/35;L'enseignement en Afrique tropicale;KHOI Le Thanh;Paris;Puf;1971;464;Education: enseignement en Afrique;17521
37/36;Qu'est-ce qu'apprendre ? : pour une philosophie de l'enseignement;REBOUL Olivier;Paris;Puf;1980;208;Education: philosophie de l'éducation;17446
37/37;L'illusion psychanalytique en éducation;BIGEAULT Jean-Pierre. TERRIER Gilbert;Paris;Puf;1978;272;Education: psychanalyse;17538
37/38;La recherche en éducation au Maroc : méthodes et domaines;  ;Rabat;F.s.e;1982;208;Education Maroc;12615
37/39;La désinformation scolaire: essai sur les manuels d'enseignement;BONILAURI Bernard;Paris;Puf;1983;160;Education: les manuels - politisation de l'enseignement;17541
37/40;Pratiques éducatives et développement de la pensée opératoire;DREVILLON Jean;Paris;Puf;1980;360;Education: développement cognitif de l'enfant - pensée opératoire;17579
37/41;National policies for education, health and social services;RUSSELL James;New york;Russell;1961;556;Education;17300
37/42;Early schools and school-books of new england;LITTLEFIELD George Emery;New york;Russell;1965;354;Education;17299
37/43;America's struggle for free schools : social tension and education in new england and new york, 1827-42;JACKSON Sidney;New york;Russell;1965;287;Education;17298
37/44;Pour ou contre Summerhill: un dossier;  ;Paris;Payot;1970;256;Education libre;16049
37/45;Plaidoyer pour les apprentissages précoces : stratégies éducatives pour la réalisation des potentialités humaines;COHEN Rachel;Paris;Puf;1982;320;Education: apprentissage précoce;17562
37/46;Bachelard, l'enfance et la pédagogie;JEAN Georges;Paris;Scarabée;1983;208;Education: enfance et pédagogie selon Bachelard;19098
37/47;Propos actuels sur l'éducation (contribution à l'éducation des adultes);ARDOINO Jacques;Paris;Bordas/G. Villlars;1978;368;Education;19065
37/48;Propos sur l'éducation;ALAIN;Paris;Puf;1932;332;Education;19465
37/49;Education et développement social de l'enfant;VANDENPLAS-HOLPER Christiane;Paris;Puf;1979;320;Psychopédagogie: éducation - développement sociale de l'enfant;19074
37/50;Définir les objectifs de l'éducation;DE LANDSHEERE Viviane;Paris;Puf;1984;338;Education: objectif de l'éducation;19070
37/51;Propos sur l'éducation (suivis de)pédagogie enfantine;ALAIN;Paris;Puf;1986;386;Education;19465
37/52;Le groupement des élèves en éducation;YATES Alfred;Bruxelles;Labor;1979;208;Education: méthodes de regroupement;19095
37/53;La relativité éducationnelle: esquisse d'une histoire et 'une philosophie de l'école;CLAUSSE Arnould;Bruxelles;Labor;1975;268;Education;19088
37/54;Où vont les pédagogies non-directives ? = autorité du maître et liberté des élèves;SNYDERS Georges;Paris;Puf;1973;384;Education: la non-divectivité;19060
37/55;Education et relations : introduction à une analyse plurielle des situations éducatives;ARDIONO Jacques;Paris;Bordas;1980;184;Education;19064
37/56;L'expression corporelle : un enseignement de la communication;SALZER Jacques;Paris;Puf;1981;208;Education: enseignement de la communication corporelle;19059
37/57;Penser et agir l'éducation : de l'intelligence du développement au développement des intelligences;HADJI Charles;Paris;Esf;1992;184;Education : philosophie - pédagogie;25161
37/58;La liberté de l'enseignement;MONCHAMBERT Sabine;Paris;Puf;1983;432;Education: liberté de l'enseignement;21651
37/59;Quelques pensées sur l'éducation;LOCKE John;Paris;Vrin;1966;288;Education;21874
37/60;Le jouet l'enfant, l'éducateur : rôles de l'objet dans le développement de l'enfant et le travail pédagogique;CAMPAGNE Francis;Paris;Privat;1989;128;Education : le jouet;21716
37/61;Suffit-il d'innover ? : l'exemple des collèges;LANGOUET Gabriel;Paris;Puf;1985;288;Education : innovation pédagogique;21677
37/62;Le tiers-instruit;SERRES Michel;Paris;Bourain;1991;252;Education;21230
37/63;Culture générale;VALLET. Odon;Paris;Masson;1991;293;Education : culture;22948
37/64;Le défi éducatif : famille, école, entreprise : même combat;BONNET Yannik;Paris;Fleurus;1989;144;Education : la jeunesse française;22844
37/65;Science and technology education in africa : focus on saven sub-saharan countries;AJEYALEMI Duro (éd);Lagos (Nigéria);University of lagos;1990;196;Education en Afrique : sciences et technologie;24132
37/65bis;Science and technology education in africa : focus on saven sub-saharan countries;AJEYALEMI Duro (éd);Lagos (Nigéria);University of lagos;1990;196;Education en Afrique : sciences et technologie;24133
37/66;Métier impossible : la situation morale des enseignants;BOUCHARD Pascal;Paris;Esf;1992;136;Education : enseignants;25163
37/67;Le choix d'éduquer : éthique et pédagogie;MIERIEU Philippe;Paris;Esf;1993;200;Education : éthique;25138
37/68;Développer la capacité d'apprendre;BERBAUM Jean;Paris;Esf;1991;192;Education : apprentissage;25136
37/69;Analyse systémique de l'éducation : essai;POCZTAR Jerry;Paris;Esf;1989;208;Education : analyse de système;25139
37/70;No limits to learning : bridging the human gap a report to the club of Rome;BOTKIN J.W. ELMANDJRA M. MALITZA M;Paris;Pergamon;1980;159;Education : apprentissage;2570
37/70bis;No limits to learning : pridging the human gap a report to the club of Rome;BOTKIN J.W. ELMANDJRA M. MALITZA M;Paris;Pergamon;1980;159;Education : apprentissage;2571
37/71;On ne finit pas d'apprendre : le fossé humain à comblé rapport au club de Rome;BOTKIN J.W. ELMANDJRA M. MALITZA M;Paris;Pergamon;1980;179;Education : apprentissage;4457
37/71bis;On ne finit pas d'apprendre : le fossé humain à combler rapport au club de Rome;BOTKIN J.W. ELMANDJRA M. MALITZA M;Paris;Pergamon;1980;179;Education : apprentissage;4458
380.12/01;Les grands marchés du monde;GEORGE Pierre;Paris;Puf;1968;127;Marchés;1221
380.12/02;Les marchés internationaux des matières premières;MOUTON Claude. CHALMIN Philippe;Paris;Economica;1982;297;Marchés;13704
380.12/03;Le marché mondial des phosphates et des engrais phosphates;ZENAIDI Karray Boura;Paris;Economica;1983;234;Marchés;13776
380.12/03bis;Le marché mondial des phosphates et des engrais phosphates;ZENAID Karray Bourane;Paris;Economica;1983;234;Marchés;19372
380.12/03ter;Le marché mondial des phosphates et des engrais phosphates;ZENAID Karray Bourane;Paris;Economica;1983;234;Marchés;16005
380.12/04;Les marchés agricoles;LELONG Pierre;Paris;Puf;1979;127;Marchés;1877
380.81/05;Le tourisme international;LANQUAR Robert;Paris;Puf;1977;128;Organisation du tourisme;1878
380.81/01;Le tourisme dans les pays en voie de développement: mythes réalités et perspectives;MEHOU-LOKO Victor;Paris;Acct;1976;173;Organisation du tourisme;4424
380.81/03;Tourisme passeport pour le développement?: regards sur les effets culturels et sociaux du tourisme;KADT Emanuel de;Paris;Economica;1979;345;Organisation du tourisme;6693
380.81/04;Le développement du tourisme au Maroc;BELKAMEL Mohamed;Casablanca;Maghrébines;1980;208;Organisation du tourisme;6382
380.81/05bis;Le tourisme international;LANQUAR Robert;Paris;Puf;1977;128;Organisation du tourisme;1434
380.81/07;L'office national marocain du tourisme;MREJEN Nissim;Rabat;La Porte;1963;126;Organisation du tourisme;945
380.81/08;L'espace touristique marocain: de 1977-1979;BERRIANE Mohamed;Paris;Cnrs;1981;171;Organisation du tourisme;8760
380.81/09;La ruée vers le soleil. le tourisme à destination du Tiers-Monde;AISNER Pierre;Paris;L'Harmattan;1983;285;Organisation du tourisme;14266
381.7/01;Le contrat de transfert de processus technologique know-how;DELEUZE J. M;Paris;Masson;1979;254;Technique du commerce;6303
381/01;Contrebande et contrebandiers;BEQUET Paul;Paris;Puf;1972;128;Commerce intérieur;1846
381/02;La libre concurrence;CLEMENT Bernard;Paris;Puf;1977;128;Commerce intérieur;1236
381/03;La vente par correspondance;DELEGUE Beatrice;Paris;Puf;1978;125;Commerce intérieur;2726
381/04;Qu'est qui fait vendre;BELLENGER Lionel;Paris;Puf;1984;256;Commerce intérieur;22772
382_100_/02;Droit du commerce international;OPPETIT Bruno;Paris;Puf;1977;502;Commerce international;6460
382_100_/05;Le commerce international;PHAN Duc-Loi;Paris;Economica;1980;324;Commerce international;6700
382_100_/05bis;Le commerce international;PHAN Duc-Loi;Paris;Economica;1980;324;Commerce international;19542
382.6/01;Les techniques de l'exportation;DANGEARD Alain L. PONTET Philippe;Paris;Puf;1977;128;Exportation;1835
382.6/02;Le mythe de l'exportation;DAVID François;;C. Lévy;1971;348;Exportation;11645
382/01;Economie internationale : le commerce;CAVES Richard E. CAVES R. Jones Ronald W;Paris;A. Colin;1900;320;Commerce international;11930
382/03;Le commerce extérieur;BAVELIER Alain;Paris;Puf;1973;128;Commerce international;1146
382/04;Le droit international des affaires;SCHAPIRA Jean;Paris;Puf;1900;127;Commerce international;1127
382/06;L'afrique commerce avec l'Afrique. problèmes et impératifs africains de coopération économique et monétaire;VINAY Bernard;Paris;Puf;1968;213;Commerce international;7251
382/07;Histoire du commerce;LEFRANC Georges;Paris;Puf;1972;128;Commerce international;1833
382/08;L'incidence du troc sur l'économie des pays en voie de développement: rapport de synthèse;JAEGER Ingelies;Paris;Ocde;1979;147;Commerce international;8666
382/09;Le droit de la représentation commerciale. t2, vol II;THEUX Axel (de);Bruxelles;Breylaut;1981;876;Commerce international;9013
382/10;Théories de l'échange international;GUILLOCHON Bernard;Paris;Puf;1976;193;Commerce international;13518
382/11;L'emploi, le commerce international et la coopération Nord-Sud;RENSHAW Geoffrey;Genève;B.i.t;1982;268;Commerce international;14972
382/12;Le système préférentiel et les états tiers;KNAPP Blaise;Genève;Droz;1959;400;Commerce international;15364
382/13;Le nouvel ordre commercial international;HAQUANI Zalmai;Paris;Economica;1984;144;Commerce international;16359
382/14;La réglementation des changes au Maroc;BERRADA Mohamed Azzedine;Casablanca;Secea;1984;326;Commerce international;14508
382/15;La balance marocaine des paiements;AQALLAL Abdellatif;Mohammedia;Imprimerie de Fédala;1988;314;Commerce international;18606
382/16;Le commerce international;RAINELLI Michel;Paris;La Découverte;1989;127;Commerce international;20708
382/17;Commerce et protectionnisme : quel avenir pour les échanges internationaux ? ;HASBI Aziz. IHRAI Saïd;Paris;L'Harmattan;1989;136;Commerce international;21715
382/18;Droit matériel et politiques de la communauté européenne;DRUESNE Gérard;Paris;Puf;1986;416;Commerce international;21663
382/19;Politique de la concurrence dans les pays de l'OCDE;OCDE;Paris;Ocde;1988;312;Commerce international;21512
382/20;Le crédit documentaire dans les transactions internationales : mode de paiement, instrument de garantie, support de financement;SLAMTI Ahmed. RAGHNI Abdelkrim;Casablanca;Najah el Jadida;1989;280;Commerce international;22771
382/21;Commerce international : la fin des avantages acquis;  ;Paris;Economica;1989;408;Commerce international;22368
382/22;La vente internationale de marchandises convention des Nations-Unies du 11 avril1980;AUDIT Bernard;Paris;Lgdj;1990;224;Commerce international;23496
382/23;Commerce international en concurrence imparfaite;LAUSSEL Didier. MONTET Christian;Paris;Economica;1989;200;Commerce international;23093
382/24;Commerce international;HENNER Henri-F;Paris;Montchrestien;1989;293;Commerce international;23498
382/25;Organisation de la commercialisation et stratégie à appliquer en la matière dans les pays en voie de développement;ONU;New York;Nations Unies;1976;47;Commerce international;2978
386/01;Technique de la navigation;CELERIER Pierre;Paris;Puf;1975;128;Navigation;1340
386/01bis;Technique de la navigation;CELERIER Pierre;Paris;Puf;1975;128;Navigation;2215
388_81_/08;Transports urbains et développement économique du Brésil;DARBERA Richard. PRUD'HOMMe Rémy;Paris;Economica;1983;168;Transport;16419
388/01;Les transports face aux changements structurels: rapports introductifs et synthèse des discussions;CEMT (éd);Paris;Ocde;1980;627;Transport;7089
388/02;Droit des transports: transports terrestres et aériens;RODIERE René;Paris;Sirey;1977;941;Transport;6806
388/03;Les grands transports mondiaux: énergie et matières premières;JONCHAY Yvan;Paris;Bordas;1978;224;Transport;7333
388/04;Les transports en Europe;PRIOU Jules-Marie;Paris;Puf;1971;128;Transport;2211
388/05;Les transports routiers;BOYER Albert;Paris;Puf;1973;127;Transport;2212
388/06;Les transports maritimes;BOYER Albert;Paris;Puf;1973;128;Transport;1443
388/07;Les transports maritimes;BOYER Albert;Paris;Puf;1973;128;Transport;2217
388/09;Droit des transports terrestres. marchandises. déménagements;FIOUX Jean-Luc;Paris;J. Delmas;1987;367;Transport;20820
388/10;L'aviation commerciale;MARAIS Jean-Georges. SIMI Frédéric;Paris;Puf;1970;128;Transport;2367
388/11;Les transports urbains et l'environnement 10-12 juillet 1979 tome 1: rapports de base;OCDE;Paris;Ocde;1979;356;Transport;8627
388/12;Les transports urbains et l'environnement 10-12 juillet 1979. t2: études de cas;OCDE;Paris;Ocde;1979;334;Transport;8628
388/13;Les transports urbains et l'environnement 10-12 juillet 1979. t3: rapport de synthèse;OCDE;Paris;Ocde;1979;7;Transport;8629
388/14;Les transports urbains et l'environnement 10-12 juillet 1979. t4: conclusions;OCDE;Paris;Ocde;1979;75;Transport;8630
388/15;L'économie du transport international de marchandises, air et mer;BAUCHET Pierre;Paris;Economica;1982;590;Transport;16404
388/16;Les transports et la puissance publique;QUINET Emile;;P.e.n.p.c;1983;160;Transport;16520
388/17;Les entreprises et le transport;QUINET Emile;Paris;P.p.c;1985;200;Transport;16521
388/18;L'économie des transports dans les programmes de développement;BOURIERES Paul;Paris;Puf;1964;0;Transport;17544
388/19;Le transport international dans l'économie mondiale;BAUCHET Pierre;Paris;Economica;1988;569;Transport;20881
388/20;Transports urbains dans les pays en développement: nouvelles perceptions, nouvelles politiques;PRUD'HOMME Remy (s/s dir);Paris;La Radigme;1990;312;Transport;22612
